datescrap,marketplace,cat1_id,cat2_id,cat3_id,cat1,cat2,cat3
2023-05-31,Tokopedia,60,655,3921,Elektronik,TV & Aksesoris,Receiver TV
2023-05-31,Tokopedia,60,655,659,Elektronik,TV & Aksesoris,Remote TV
2023-05-31,Tokopedia,983,1215,1217,Dapur,Bekal,Tas Botol
2023-05-31,Tokopedia,983,1215,981,Dapur,Bekal,Termos Air
2023-05-31,Tokopedia,983,3439,3466,Dapur,Aksesoris Dapur,Parutan
2023-05-31,Tokopedia,983,3439,3467,Dapur,Aksesoris Dapur,Peeler
2023-05-31,Tokopedia,983,3440,3481,Dapur,Alat Masak Khusus,Sushi Maker & Roller
2023-05-31,Tokopedia,983,3440,3489,Dapur,Alat Masak Khusus,Waffle Maker
2023-05-31,Tokopedia,60,3884,4003,Elektronik,Printer,Printer Laser Color
2023-05-31,Tokopedia,60,3884,3998,Elektronik,Printer,Printer Laser Mono
2023-05-31,Tokopedia,984,3698,3808,Rumah Tangga,Travel,Bantal Leher
2023-05-31,Tokopedia,984,3698,3807,Rumah Tangga,Travel,Gembok Koper
2023-05-31,Tokopedia,984,991,1037,Rumah Tangga,Tempat Penyimpanan,Botol
2023-05-31,Tokopedia,984,991,3732,Rumah Tangga,Tempat Penyimpanan,Brankas
2023-05-31,Tokopedia,984,1654,3747,Rumah Tangga,Taman,Air Sofa
2023-05-31,Tokopedia,984,1654,3749,Rumah Tangga,Taman,Ayunan
2023-05-31,Tokopedia,60,27,3927,Elektronik,Media Player,Vinyl Player
2023-05-31,Tokopedia,983,911,977,Dapur,Peralatan Makan & Minum,Tatakan Gelas & Piring
2023-05-31,Tokopedia,983,911,940,Dapur,Peralatan Makan & Minum,Tempat Sendok & Garpu
2023-05-31,Tokopedia,60,989,1026,Elektronik,Lampu,Lampu Baca
2023-05-31,Tokopedia,60,989,1028,Elektronik,Lampu,Lampu Darurat
2023-05-31,Tokopedia,60,655,3920,Elektronik,TV & Aksesoris,TV Box
2023-05-31,Tokopedia,60,655,3918,Elektronik,TV & Aksesoris,Televisi
2023-05-31,Tokopedia,983,1215,1221,Dapur,Bekal,Tusuk Bento
2023-05-31,Tokopedia,983,3439,3474,Dapur,Aksesoris Dapur,Pelindung Tangan
2023-05-31,Tokopedia,983,3439,3463,Dapur,Aksesoris Dapur,Pengasah Pisau
2023-05-31,Tokopedia,60,3884,4005,Elektronik,Printer,Printer Thermal
2023-05-31,Tokopedia,60,3884,4006,Elektronik,Printer,Scanner
2023-05-31,Tokopedia,984,3698,3797,Rumah Tangga,Travel,Koper
2023-05-31,Tokopedia,984,3698,3801,Rumah Tangga,Travel,Luggage Cover
2023-05-31,Tokopedia,984,991,1039,Rumah Tangga,Tempat Penyimpanan,Keranjang
2023-05-31,Tokopedia,984,991,1038,Rumah Tangga,Tempat Penyimpanan,Kotak
2023-05-31,Tokopedia,984,1654,1655,Rumah Tangga,Taman,Benih Bibit Tanaman
2023-05-31,Tokopedia,984,1654,3751,Rumah Tangga,Taman,Garpu Taman
2023-05-31,Tokopedia,984,3696,3726,Rumah Tangga,Ruang Tamu & Keluarga,Bantal Sofa
2023-05-31,Tokopedia,983,911,975,Dapur,Peralatan Makan & Minum,Tudung Saji
2023-05-31,Tokopedia,60,989,1261,Elektronik,Lampu,Lampu Dinding
2023-05-31,Tokopedia,60,989,1027,Elektronik,Lampu,Lampu Gantung
2023-05-31,Tokopedia,983,3439,3462,Dapur,Aksesoris Dapur,Pisau Dapur
2023-05-31,Tokopedia,983,3439,3471,Dapur,Aksesoris Dapur,Pisau Set
2023-05-31,Tokopedia,60,3884,4001,Elektronik,Printer,Spare part Printer
2023-05-31,Tokopedia,984,3698,3809,Rumah Tangga,Travel,Luggage Strap
